nombreGrupo=Red Hidrometeorológica Nacional
idGrupo=1
nombreSensor=_Veleta
idSensor=11
intervaloTemporal=diario
fecha=2019-08


Fecha,    01,    02,    03,    04,    05,    06,    07,    08,    09,    10,    11,    12,    13,    14,    15,    16,    17,    18,    19,    20,    21,    22,    23,    24,    25,    26,    27,    28,    29,    30,    31
72 - Atuel en El Nihui,24,24,21,0,13,0,0,0,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,14,7,0,22,24
64 - Carrenleufu en la,6,6,6,0,5,6,5,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,5,6,6,6,6,6
62 - Colorado en Pichi,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,5,6,6,6,6,6,6,6,6
193 - Faro Punta Delga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76 - Faro Recalada Bah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78 - Faro Río Negro,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50 - Lago Argentino en,24,24,24,23,22,24,24,24,24,24,24,24,24,23,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24
65 - La Paulina-Aserra,7,6,1,1,5,5,1,2,6,7,4,3,6,3,4,5,5,6,4,5,5,7,5,4,5,5,7,4,3,4,6
68 - Los Sosa en RP30 ,6,6,6,1,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
88 - PN El Chalten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53 - Río Bermejo en Po,0,0,0,0,6,23,24,24,23,24,24,24,23,24,24,24,24,23,23,23,23,24,24,24,24,24,24,24,24,24,24
240 - Río CHubut - El ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57 - Río Chubut en los,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71 - Rio Guayquiraró e,24,23,23,24,22,8,0,23,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,23,24,24,24,23,24
70 - Río Lules en Potr,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,2,5,4,4,5,4,4,5,5
63 - Río Mayo - Paso R,0,0,0,4,0,0,3,6,6,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
89 - Río Mendoza en Gu,2,6,6,5,4,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6
55 - Río Neuquén en Ch,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,5,7,3,1
74 - Río Senguer en Sa,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163 - Río Tunuyan en V,0,2,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0
75 - Río Uspallata - U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73 - Tupungato en Punt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
