Cantidad de registros por día.
Red: Red Hidrometeorológica Nacional (1).
Variable: Limnimetro_10b (146).
Mes: 2019-08

Fecha:                    01    02    03    04    05    06    07    08    09    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26    27    28    29    30    31
157 - Abaucán en Tinog     3    11     2    24     5     3     0    23    21     6     2     0     5     2     5     4     6    10     6     5     3    13     6     9     2     2     9     6     2     3    16
191 - Añatuya-RP 92        0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
159 - Aº Batel en Paso     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     6     6     4     6     6     6     6     5     6     6     6     6     5
58 - Aº Feliciano-Paso     6     6     6     1     5     6     6     6     6     6     6     6     6     6     6     6     5     6     5     6     6     6     6     6     5     6     6     6     6     6     6
80 - Canal de Dios	        0     0     0     0     0     0    24    24    24    22    24    24    24    24    24    24    24    24    24    24    24    24    23    13    24    24    24    24    24    24    24
189 - Canal de Dios -      0     0     0     0     0     0    12    12    10    10    12    10    12    12    12    12    10    12    10    12    12    12    11     7    12    12     9    11    12    12    12
83 - Canal Liag - Queb     4    13     3    24     3     1     0    23    18     4     5     6     4     3     6     4     5     5     5     4     3     6     3     8     6     5     8     6     6     5     5
79 - Canal MACAPILLO 	     6     6     6     5     5     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6
180 - Canal Regulador     24    24    24    24    24    24    24    24    22    24    24    24    24    24    24    24    24    24    24    24    24    24    23    13    24    24    24    24    24    24    24
187 - Carmensa             5     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     5     6     3     6     6     6     6     6     6     6
40 - Carrenleufu en Ca     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
64 - Carrenleufu en la     6     6     6     1     5     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     5     6     6     6     6     6     6
67 - Charles Fhur          3     6     5     1     4     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     5     6     6     6     6     5     6     5     6     6
62 - Colorado en Pichi     6     6     5     1     5     6     6     6     6     6     6     4     6     6     5     5     6     6     5     6     6     6     5     6     6     6     6     6     6     6     6
179 - Compuerta Altern    19    24    24    24    24    24    24    24    24    24    24    24    24    24    24    24    24    24    24    24    24    24    23    13    24    24    24    24    24    24    24
185 - Cruz Alta           23    24    24    22    22    24    24    24    21    24    22     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
86 - Desaguadero en Ca     6     6     6     1     5     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6
16 - Futaleufú en Pues     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
41 - Gallegos - Pte. B     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
43 - Gallegos - Toma S     6     6     6     1     3     6     6     5     2     6     6     5     6     4     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     5
37 - HUA HUM - San Mar     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     4     7    12    12    12    12    12    12    12
44 - Iguazú - PERFIL T     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    12    12    12    12    12    12
186 - Intersección Can    24    24    24    24    24    24    24    24    24    24    24    24    24    24    24    24    24    24    24    24    24    24    23    12    24    24    24    24    24    24    24
50 - Lago Argentino en     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
56 - Laguna Ibera en C     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     6    24    24    24    24    24    23    24    24    24    24    23    24    24    24    24
184 - Laguna La Picasa     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
66 - La Leona              5     4     3     1     3     3     5     6     6     4     6     5     2     6     6     6     6     6     6     6     4     6     6     6     3     0     0     0     0     0     0
65 - La Paulina-Aserra     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
68 - Los Sosa en RP30      6     6     6     1     5     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6
45 - Miriñay - PASO LE     6     6     6     1     5     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6
183 - Olivia               0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
175 - Parque Nac. los     24    22    24    24    24    24    22    24    24    24    24    24    24    24    24    24    24    24    24    24    24    24    22    14    24    24    24    24    24    24    24
177 - Paso de Indios      23    24    20    24    21    23    24    23    23    22    22    22    24    24    22    24    22    24    24    24    24    24    21    13    24    22    24    24    24    24    24
42 - Penitente - Rincó     0     0     1     1     2     0     1     6     0     1     6     2     1     2     6     2     2     3     3     1     0     3     6     6     0     2     3     6     4     6     4
188 - Puesto Ugalde        6     6     6     6     6     6     6     6     5     5     6     4     2     6     6     6     5     6     6     6     6     6     6     3     6     6     6     6     6     6     6
46 - Quequen Grande -      0     0     0     0     0     0     0     1     6     6     6     6     6     6     6     6     6     6     5     6     6     6     6     6     6     6     6     6     6     6     6
181 - Río Areco - Carm    21    24    24    24    24    24    24    24    24    22    24    24    24    24    24    24    24    24    24    24    24    24    23    13    24    24    24    24    24    24    24
173 - Río Areco - Puen     5     8     8     7     7     6     8     8     8     8     8     8     8     8     8     8     8     8     8     8     8     8     7     5     8     8     8     8     8     8     8
182 - Río Areco - San      0     3    22    24    22    24    18    20    15    13    12    20    18    19    17    20    20    22    22    24    22    24    19    19    20    21    17    24    24    24    24
14 - Río Atuel - Algar     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     3     6     6     6     6     6     6     6
13 - Río Atuel - Paso      6     6     6     6     6     6     6     6     6     5     6     6     6     6     6     6     5     6     6     6     6     6     6     3     6     6     6     6     6     6     6
90 - Río Azul en el Az     0     0     0     0     0     2     6     6     6     6     6     4     5     5     6     6     6     5     6     3     1     3     5     4     4     4     5     2     6     6     5
147 - Río Bermejo - Ba     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     3     6     6     6     6     6     6     6
149 - Rio Bermejo-El C     6     6     6     6     6     6     6     6     6     6     5     6     6     6     5     6     6     6     6     6     6     6     6     3     6     6     6     6     6     6     6
150 - Rio Bermejo-Emba     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
53 - Río Bermejo en Po     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
151 - Rio Bermejo-Finc     6     6     6     6     6     6     6     6     6     6     6     6     5     5     5     6     6     6     6     6     5     6     6     3     6     6     6     6     6     5     6
152 - Rio Bermejo-Puen     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
154 - Rio Bermejo-Puer     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     5     6     6     6     6     6     3     6     6     6     6     6     6     6
155 - Rio Bermejo-Puer     5     6     6     6     6     6     6     6     6     6     6     5     6     6     6     6     6     6     6     6     6     6     6     3     6     6     1     0     0     4     6
156 - Rio Bermejo-Sauz     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
168 - Río Carcarañá en     0     0     0     0     0     0     0     0    23    24    24    24    24    24    24    24    24    24    24    24    24    24    24    24    24    23    24    24    24    24    24
85 - Rio Carrenleufu e     0     4     6     1     5     6     6     6     6     6     2     3     6     6     6     6     6     6     6     2     2     6     6     2     2     6     6     2     3     6     6
240 - Río CHubut - El      0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
87 - Río Chubut en Ame     3     2     3     2     3     2     4     3     0     0     0     3     6     6     4     4     3     4     4     6     6     3     6     6     4     6     6     6     6     6     6
57 - Río Chubut en los     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
33 - Río Coronda en Co     7    15    14    24    11    20    24    22    18    12     9     9     4    10    14    11    12     8    13     7    10     9     8    15    12     6    15     7    12     6     5
162 - Río Corrientes       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     6     6     6     6     6     6     6     6     6     6     6
166 - Río Cuarto en RN     1    10     2    24     4     1     0    23    19     2     5     4     0     1     1     7     7     7     9     5     3     8     8     7     4     9     8     5     3     2     3
224 - Rio de las Vuelt     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    11    12    12    12    12
29 - Rio de los Patos      6     6     6     2     5     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6
91 - Río Dulce Paso de     6     6     6     1     5     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6
32 - Río Grande en La      6     6     6     1     5     6     6     5     6     6     6     6     6     6     6     5     6     6     5     6     6     6     5     6     6     6     6     6     6     6     6
148 - Rio Grande Tarij     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
169 - Río Gualeguay en     5    13     5    24     7     5     0    23    17     9    11    11     3     7     5     8     6     5     4     5     4     9     5    10     7     8    10     7    11     9     9
167 - Río Gualeguay Ro     0     2     1    24     2     3     0    23    19     1     0     2     3     1     0     0     6     7     4     2     4     7     4    10     2     1    10     1     6     9     4
84 - Río Iguazú en Pue     6     5     6     0     3     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     0     0     0     0     0     0     0     0     0     0     0
70 - Río Lules en Potr     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
61 - Río Manso - Confl     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     6     6
63 - Río Mayo - Paso R     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
89 - Río Mendoza en Gu     0     5     6     5     4     6     6     6     6     6     6     6     4     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6
55 - Río Neuquén en Ch     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
36 - Río Percey Ruta a     3     6     2     1     4     6     6     6     6     6     6     5     6     6     6     6     5     6     6     6     6     6     6     6     6     6     6     6     6     6     6
31 - Río Poti Malal en     3     6     6     1     5     6     5     6     5     6     2     3     6     6     6     6     6     6     2     3     5     3     6     6     2     0     3     6     6     6     5
39 - Rio Quequentreu e     6     6     6     1     5     5     6     6     5     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6     6
