nombreGrupo=Red Hidrometeorológica Nacional
idGrupo=1
nombreSensor=Limnimetro_10bA
idSensor=162
intervaloTemporal=03:00
fecha=2018-10-27


Fecha,00:00,03:00,06:00,09:00,12:00,15:00,18:00,21:00
3 - Aº Colastiné en Au,0,0,0,0,0,0,0,0
4 - Aº Del Medio en La,0,0,0,0,0,0,0,0
12 - Aº Monje en Autop,0,0,0,0,0,0,0,0
179 - Compuerta Altern,0,0,0,0,0,0,0,0
10 - Laguna Mar Chiqui,0,0,0,0,0,0,0,0
21 - Río Arrecifes - A,0,0,0,0,0,0,0,0
22 - Río Atuel  El Sos,0,0,0,0,0,0,0,0
49 - RIO CHUBUT EN TRE,0,0,0,0,0,0,0,0
17 - Río Chubut en Val,0,0,0,0,0,0,0,0
2 - Río Gualeguaychú e,0,0,0,0,0,0,0,0
27 - Río Juramento - E,0,0,0,0,0,0,0,0
20 - Rio Lujan - Lujan,0,0,0,0,0,0,0,0
6 - Río Paraguay en Pt,0,0,0,0,0,0,0,0
26 - Río Paraguay - Pt,0,0,0,0,0,0,0,0
5 - Río Paraná en Corr,0,0,0,0,0,0,0,0
25 - Río Paraná - Goya,0,0,0,0,0,0,0,0
23 - Río Paraná - Itat,0,0,0,0,0,0,0,0
8 - Río Primero (Suquí,0,0,0,0,0,0,0,0
35 - Rio Quinto - Just,0,0,0,0,0,0,0,0
19 - Río Salado en San,0,0,0,0,0,0,0,0
1 - Río Salado – RP51 ,0,0,0,0,0,0,0,0
7 - Río Salto - Salto,0,0,0,0,0,0,0,0
15 - Río Santa Cruz en,0,0,0,0,0,0,0,0
9 - Río Segundo (Pluju,0,0,0,0,0,0,0,0
192 - Río Senguer Puen,0,0,0,0,0,0,0,0
