nombreGrupo=Red Hidrometeorológica Nacional
idGrupo=1
nombreSensor=Limnimetro_10bA
idSensor=162
intervaloTemporal=diario
fecha=2019-08


Fecha,    01,    02,    03,    04,    05,    06,    07,    08,    09,    10,    11,    12,    13,    14,    15,    16,    17,    18,    19,    20,    21,    22,    23,    24,    25,    26,    27,    28,    29,    30,    31
3 - Aº Colastiné en Au,24,24,24,24,22,2,0,0,0,0,0,0,0,0,0,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
4 - Aº Del Medio en La,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,12,0,0,0,1,4,6,5,7
12 - Aº Monje en Autop,24,22,24,24,16,24,24,24,15,24,24,24,24,24,24,24,24,24,24,24,24,17,0,0,0,0,0,0,0,0,0
179 - Compuerta Altern,0,0,0,0,0,0,24,24,24,24,24,24,24,24,22,22,24,24,24,24,24,22,23,13,24,22,24,24,24,24,24
10 - Laguna Mar Chiqui,24,23,22,24,20,2,0,23,24,24,23,24,24,23,22,22,24,7,0,21,22,24,24,23,23,22,24,24,24,22,23
21 - Río Arrecifes - A,96,95,96,96,88,30,0,95,96,96,96,96,96,93,96,94,96,96,96,96,96,94,94,94,96,96,96,96,96,94,94
22 - Río Atuel  El Sos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49 - RIO CHUBUT EN TRE,23,24,24,24,22,7,0,23,24,24,22,23,23,24,24,24,24,23,22,20,24,23,24,24,23,24,23,23,24,23,24
17 - Río Chubut en Val,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,90,95,89
2 - Río Gualeguaychú e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27 - Río Juramento - E,94,95,92,96,82,29,0,95,94,87,90,92,90,93,92,94,93,92,94,94,94,93,91,94,95,93,89,95,92,91,93
20 - Rio Lujan - Lujan,96,95,95,96,88,30,0,95,94,46,96,96,96,96,43,96,96,95,96,96,96,95,95,96,96,96,96,96,96,96,96
6 - Río Paraguay en Pt,6,6,5,1,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6
26 - Río Paraguay - Pt,6,6,6,5,5,6,6,6,6,6,6,6,6,3,0,0,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6
5 - Río Paraná en Corr,23,12,0,23,24,8,0,23,24,24,23,22,24,23,24,22,24,23,23,23,23,24,24,23,24,22,23,24,24,23,24
25 - Río Paraná - Goya,94,80,0,0,0,0,0,0,31,16,53,92,23,96,92,94,94,95,32,0,0,43,95,96,95,96,95,94,94,95,93
23 - Río Paraná - Itat,24,24,24,24,22,8,0,23,24,24,24,24,22,24,23,23,23,23,22,24,22,22,24,24,24,22,24,23,24,22,24
8 - Río Primero (Suquí,6,6,8,14,7,0,0,0,3,2,3,0,9,15,1,0,0,3,0,0,0,1,5,6,5,14,5,19,14,7,9
35 - Rio Quinto - Just,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,23
19 - Río Salado en San,95,96,90,0,86,1,0,95,96,95,95,96,96,95,92,96,96,96,96,96,96,96,96,96,95,96,96,95,96,96,95
1 - Río Salado – RP51 ,0,0,0,0,0,0,0,0,23,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 - Río Salto - Salto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,24,24,24,24,24,24,24,24,24,24,24
15 - Río Santa Cruz en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9 - Río Segundo (Pluju,0,23,20,24,23,4,0,23,24,15,0,21,22,24,23,24,23,24,24,24,24,23,1,0,0,0,0,0,0,0,22
192 - Río Senguer Puen,93,95,96,95,86,2,0,95,95,95,94,95,93,93,96,92,92,94,94,94,96,94,94,95,94,93,93,93,93,95,96
