nombreGrupo=Red Hidrometeorológica Nacional
idGrupo=1
nombreSensor=_Bateria
idSensor=8
intervaloTemporal=diario
fecha=2019-09


Fecha,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
157 - Abaucán en Tinog,4,4,4,5,2,11,6,4,7,0,0
164 - A° El Soberbio-P,6,6,6,6,6,6,6,6,6,3,0
191 - Añatuya-RP 92,0,0,0,0,0,0,0,0,0,0,0
159 - Aº Batel en Paso,5,6,4,3,6,6,6,6,6,3,0
3 - Aº Colastiné en Au,24,24,24,24,24,24,24,24,24,10,0
4 - Aº Del Medio en La,4,6,5,5,4,9,5,4,4,3,0
58 - Aº Feliciano-Paso,6,6,6,6,6,6,6,6,6,3,0
12 - Aº Monje en Autop,0,0,0,0,12,24,24,19,0,0,0
72 - Atuel en El Nihui,23,24,24,3,0,0,0,0,0,0,0
176 - Buta Ranquil,8,1,7,8,8,8,8,8,8,1,0
189 - Canal de Dios - ,11,9,11,9,12,12,12,8,12,5,0
83 - Canal Liag - Queb,4,5,5,5,5,9,5,5,6,2,0
79 - Canal MACAPILLO 	,6,6,6,6,6,6,6,6,6,3,0
180 - Canal Regulador ,4,4,4,4,4,4,4,4,4,2,0
187 - Carmensa,6,6,6,6,6,6,6,6,6,3,0
40 - Carrenleufu en Ca,0,0,0,0,0,0,0,0,0,0,0
64 - Carrenleufu en la,5,6,6,4,6,6,6,6,6,3,0
67 - Charles Fhur,6,6,6,5,5,6,4,6,5,3,0
62 - Colorado en Pichi,6,6,6,6,6,5,6,6,6,3,0
179 - Compuerta Altern,4,4,4,4,4,4,4,4,4,2,0
185 - Cruz Alta,0,0,0,0,0,0,0,0,0,0,0
86 - Desaguadero en Ca,6,6,6,6,6,6,6,6,6,3,0
193 - Faro Punta Delga,0,0,0,0,0,0,0,0,0,0,0
76 - Faro Recalada Bah,0,0,0,0,0,0,0,0,23,2,0
78 - Faro Río Negro,24,23,21,0,0,0,0,0,0,0,0
16 - Futaleufú en Pues,0,0,0,0,0,0,0,0,0,0,0
41 - Gallegos - Pte. B,0,0,0,0,0,0,0,0,0,0,0
43 - Gallegos - Toma S,6,6,6,6,6,6,5,6,6,3,0
37 - HUA HUM - San Mar,6,6,6,6,6,6,6,6,6,3,0
44 - Iguazú - PERFIL T,6,6,6,6,6,6,6,6,6,3,0
186 - Intersección Can,24,24,23,24,24,24,24,24,24,10,0
50 - Lago Argentino en,24,24,24,24,24,24,24,24,24,10,0
56 - Laguna Ibera en C,23,24,24,24,24,24,24,24,23,10,0
184 - Laguna La Picasa,0,0,0,0,0,0,0,0,0,0,0
10 - Laguna Mar Chiqui,24,24,22,23,22,24,21,23,24,10,0
66 - La Leona,0,0,0,0,0,0,0,0,0,0,0
65 - La Paulina-Aserra,5,4,3,6,5,5,7,3,5,3,0
68 - Los Sosa en RP30 ,6,6,6,6,6,6,6,5,6,3,0
45 - Miriñay - PASO LE,6,6,6,6,6,6,6,6,6,3,0
183 - Olivia,0,0,0,0,0,0,0,0,0,0,0
175 - Parque Nac. los ,4,4,4,4,4,4,4,4,4,2,0
177 - Paso de Indios,4,4,4,4,4,4,4,4,4,2,0
42 - Penitente - Rincó,6,3,6,6,6,4,6,6,2,3,0
88 - PN El Chalten,6,6,5,4,6,6,6,6,6,3,0
188 - Puesto Ugalde,5,6,6,6,3,6,6,6,6,1,0
46 - Quequen Grande - ,6,5,6,6,6,5,6,6,6,3,0
181 - Río Areco - Carm,2,4,4,4,4,4,4,4,4,2,0
173 - Río Areco - Puen,4,4,4,4,4,4,4,4,4,1,0
182 - Río Areco - San ,4,4,4,4,4,4,2,0,0,0,0
21 - Río Arrecifes - A,94,96,96,96,96,96,94,94,94,38,0
14 - Río Atuel - Algar,6,6,6,6,6,6,6,6,6,3,0
22 - Río Atuel  El Sos,0,0,0,0,0,0,0,0,0,0,0
13 - Río Atuel - Paso ,6,6,5,6,6,6,6,6,6,3,0
90 - Río Azul en el Az,6,6,6,6,6,6,6,5,5,3,0
147 - Río Bermejo - Ba,6,6,6,6,6,6,6,6,6,2,0
149 - Rio Bermejo-El C,6,6,6,6,6,6,5,0,0,0,0
53 - Río Bermejo en Po,24,24,24,24,24,24,24,24,23,10,0
151 - Rio Bermejo-Finc,6,6,6,6,6,6,6,6,6,2,0
154 - Rio Bermejo-Puer,6,6,6,6,6,6,6,6,6,2,0
155 - Rio Bermejo-Puer,6,6,6,6,6,6,6,6,5,0,0
168 - Río Carcarañá en,24,24,24,24,24,24,24,24,24,10,0
85 - Rio Carrenleufu e,6,6,6,6,6,6,6,6,6,3,0
240 - Río CHubut - El ,4,4,4,4,4,4,4,4,4,0,0
87 - Río Chubut en Ame,6,6,6,6,6,6,6,6,6,3,0
57 - Río Chubut en los,0,0,0,0,0,0,0,0,0,0,0
49 - RIO CHUBUT EN TRE,24,21,23,23,23,24,24,24,22,10,0
17 - Río Chubut en Val,96,95,1,0,0,0,0,0,0,0,0
33 - Río Coronda en Co,4,5,6,6,1,10,7,4,7,4,0
162 - Río Corrientes  ,6,6,6,6,6,6,6,6,6,3,0
166 - Río Cuarto en RN,2,5,3,2,3,8,2,5,5,4,0
224 - Rio de las Vuelt,6,6,6,6,6,6,6,6,6,3,0
29 - Rio de los Patos ,6,6,6,6,6,6,5,6,6,3,0
91 - Río Dulce Paso de,6,6,6,6,6,6,6,6,6,3,0
