nombreGrupo=Prueba
idGrupo=2
nombreSensor=Limnimetro_10b
idSensor=146
intervaloTemporal=03:00
fecha=2018-08-06


Fecha, 00:0, 03:0, 06:0, 09:0, 12:0, 15:0, 18:0, 21:0
18 - Prueba - GSM,0,0,0,0,0,0,0,0
47 - ZPrueba 801,0,0,0,0,0,0,0,0
48 - ZPrueba 802,0,0,0,0,0,0,0,0
51 - ZPrueba EMA 1,0,0,0,0,0,0,0,0
60 - ZPrueba EMA 10,0,0,0,0,0,0,0,0
69 - ZPrueba EMA 19,0,0,0,0,0,0,0,0
52 - ZPrueba EMA 2,0,0,0,0,0,0,0,0
217 - ZPrueba EMA 28,0,0,0,0,0,0,0,0
54 - *ZPrueba EMA 4,0,0,0,0,0,0,0,0
59 - ZPrueba EMA 9,0,0,0,0,0,0,0,0
225 - ZPrueba_INA_1165,0,0,0,0,0,0,0,0
226 - ZPrueba_INA_1165,0,0,0,0,0,0,0,0
227 - ZPrueba_INA_1165,0,0,0,0,0,0,0,0
228 - ZPrueba_INA_1165,0,0,0,0,0,0,0,0
229 - ZPrueba_INA_1166,0,0,0,0,0,0,0,0
230 - ZPrueba_INA_1166,0,0,0,0,0,0,0,0
231 - ZPrueba_INA_1166,0,0,0,0,0,0,0,0
232 - ZPrueba_INA_1166,0,0,0,0,0,0,0,0
233 - ZPrueba_INA_1166,0,0,0,0,0,0,0,0
234 - ZPrueba_INA_1166,0,0,0,0,0,0,0,0
216 - ZPrueba LIM 28,0,0,0,0,0,0,0,0
215 - ZPrueba LIM 70,0,0,0,0,0,0,0,0
160 - ZPrueba_O11202,0,0,0,0,0,0,0,0
24 - ZPrueba - Orbcomm,0,0,0,0,0,0,0,0
201 - ZPrueba P Lim 45,0,0,0,0,0,0,0,0
82 - ZPrueba P LIM 53,0,0,0,0,0,0,0,0
92 - ZPrueba P LIM 65,0,0,0,0,0,0,0,0
171 - ZPrueba P LIM 66,0,0,0,0,0,0,0,0
