nombreGrupo=SiNaRaMe
idGrupo=3
nombreSensor=_Pres Atmosferica
idSensor=15
intervaloTemporal=03:00
fecha=2018-03-06


Fecha, 00:0, 03:0, 06:0, 09:0, 12:0, 15:0, 18:0, 21:0
137 - RMA10_CPR,0,0,0,0,0,0,0,0
139 - RMA10_JAR,0,0,0,0,0,0,0,0
136 - RMA10_PAL,0,0,0,0,0,0,0,0
138 - RMA10_PIG,0,0,0,0,0,0,0,0
140 - RMA10_PLU,0,0,0,0,0,0,0,0
143 - RMA11_CON,0,0,0,0,0,0,0,0
145 - RMA11_LAV,0,0,0,0,0,0,0,0
141 - RMA11_LMA,0,0,0,0,0,0,0,0
144 - RMA11_PHO,0,0,0,0,0,0,0,0
146 - RMA11_SAN,0,0,0,0,0,0,0,0
142 - RMA11_SMT,0,0,0,0,0,0,0,0
94 - RMA1_BAL,0,0,0,0,0,0,0,0
96 - RMA1_FDC,0,0,0,0,0,0,0,0
98 - RMA1_MIR,0,0,0,0,0,0,0,0
95 - RMA1_PIL,0,0,0,0,0,0,0,0
97 - RMA1_VMA,0,0,0,0,0,0,0,0
103 - RMA2_AKO,0,0,0,0,0,0,0,0
100 - RMA2_LUJ,0,0,0,0,0,0,0,0
102 - RMA2_QUI,0,0,0,0,0,0,0,0
101 - RMA2_SAG,0,0,0,0,0,0,0,0
99 - RMA2_ZAR,0,0,0,0,0,0,0,0
105 - RMA3_IBA,0,0,0,0,0,0,0,0
108 - RMA3_IJU,0,0,0,0,0,0,0,0
106 - RMA3_PIR,0,0,0,0,0,0,0,0
104 - RMA3_PLA,0,0,0,0,0,0,0,0
107 - RMA3_PZL,0,0,0,0,0,0,0,0
109 - RMA4_CBN,0,0,0,0,0,0,0,0
111 - RMA4_COL,0,0,0,0,0,0,0,0
112 - RMA4_LAE,0,0,0,0,0,0,0,0
110 - RMA4_PCH,0,0,0,0,0,0,0,0
113 - RMA4_PMB,0,0,0,0,0,0,0,0
116 - RMA5_ELD,0,0,0,0,0,0,0,0
114 - RMA5_SAN,0,0,0,0,0,0,0,0
117 - RMA5_SVI,0,0,0,0,0,0,0,0
115 - RMA5_URU,0,0,0,0,0,0,0,0
118 - RMA6_CVI,0,0,0,0,0,0,0,0
119 - RMA6_LPA,0,0,0,0,0,0,0,0
122 - RMA6_MME,0,0,0,0,0,0,0,0
121 - RMA6_NEC,0,0,0,0,0,0,0,0
120 - RMA6_PMO,0,0,0,0,0,0,0,0
93 - RMA7_CDP,0,0,0,0,0,0,0,0
123 - RMA7_ECH,0,0,0,0,0,0,0,0
126 - RMA7_GRO,0,0,0,0,0,0,0,0
124 - RMA7_PHU,0,0,0,0,0,0,0,0
125 - RMA7_RSA,0,0,0,0,0,0,0,0
128 - RMA8_BPL,0,0,0,0,0,0,0,0
129 - RMA8_BVI,0,0,0,0,0,0,0,0
127 - RMA8_CC,0,0,0,0,0,0,0,0
130 - RMA8_PIB,0,0,0,0,0,0,0,0
135 - RMA9_CKR,0,0,0,0,0,0,0,0
131 - RMA9_RAD,0,0,0,0,0,0,0,0
132 - RMA9_SSE,0,0,0,0,0,0,0,0
133 - RMA9_TOL,0,0,0,0,0,0,0,0
134 - RMA9_USH,0,0,0,0,0,0,0,0
